place,mae,attempts
258,1144.811590,10
259,1145.207140,3
260,1146.239440,3
261,1146.678930,4
262,1147.087150,1
263,1147.115400,2
264,1147.115400,1
265,1147.346560,2
266,1147.724060,2
267,1147.776820,5
268,1148.175130,7
269,1148.279660,4
270,1148.799860,1
271,1149.344200,1
272,1149.581200,13
273,1149.737560,2
274,1150.743120,4
275,1150.808390,10
276,1151.520340,20
277,1151.556660,1
278,1151.963180,7
279,1152.195740,13
280,1152.612020,4
281,1153.241300,5
282,1153.300630,1
283,1153.658760,9
284,1154.381250,2
285,1154.392600,8
286,1154.623540,9
287,1154.689970,4
288,1154.820720,5
289,1156.021490,6
290,1156.718130,3
291,1156.749710,4
292,1157.055450,3
293,1157.480960,15
294,1157.612260,5
295,1157.740540,2
296,1157.987860,1
297,1158.101370,7
298,1158.251430,3
299,1158.624520,15
300,1159.171850,3
301,1159.632660,4
302,1159.781530,3
303,1160.059370,1
304,1160.327590,3
305,1160.541800,15
306,1160.835500,6
307,1160.838060,1
308,1161.754710,7
309,1161.794700,2
310,1162.015420,3
311,1162.567840,14
312,1162.580570,6
313,1162.850430,1
314,1162.860480,2
315,1163.445750,1
316,1163.834190,4
317,1163.876050,5
318,1164.867550,1
319,1165.127120,1
320,1165.833120,3
321,1165.921450,2
322,1166.227560,5
323,1166.237660,10
324,1166.521430,7
325,1166.576380,1
326,1166.641290,4
327,1166.683450,2
328,1166.929520,2
329,1167.418250,8
330,1167.508160,1
331,1167.565260,1
332,1167.752830,1
333,1167.910190,2
334,1168.375940,2
335,1168.691440,2
336,1168.694100,3
337,1168.694100,1
338,1168.694100,3
339,1168.694100,3
340,1168.694100,1
341,1168.694100,1
342,1168.694100,1
343,1168.694100,2
344,1168.694100,3
345,1168.770120,6
346,1168.784880,2
347,1168.836800,2
348,1169.033560,2
349,1169.168490,3
350,1169.314540,5
351,1169.962080,2
352,1170.316570,2
353,1170.419950,1
354,1170.561550,3
355,1170.577890,14
356,1170.679820,1
357,1170.715630,1
358,1170.736520,6
359,1170.870190,7
360,1171.045090,2
361,1171.105170,3
362,1171.185140,2
363,1171.324600,6
364,1171.693520,2
365,1171.763780,1
366,1171.911730,12
367,1172.137870,2
368,1172.230900,1
369,1172.309380,6
370,1172.518710,3
371,1173.245130,1
372,1173.545810,1
373,1174.218240,5
374,1174.990760,2
375,1175.142980,2
376,1175.198390,2
377,1176.231530,2
378,1176.767850,7
379,1177.145450,3
380,1177.707580,6
381,1177.787140,9
382,1178.580240,1
383,1178.630270,2
384,1178.800910,9
385,1179.331370,1
386,1179.729590,9
387,1181.627660,1
388,1181.730390,5
389,1182.427070,7
390,1183.190500,2
391,1184.385860,1
392,1185.051680,2
393,1186.223460,4
394,1187.145180,1
395,1187.403260,9
396,1187.669450,8
397,1190.033500,1
398,1190.489930,3
399,1191.730180,2
400,1191.866190,4
401,1193.724670,7
402,1193.847480,1
403,1194.126480,3
404,1194.268090,9
405,1194.315970,3
406,1194.477710,5
407,1195.430260,4
408,1195.561030,2
409,1197.404070,2
410,1197.837440,13
411,1197.958710,2
412,1198.674660,4
413,1199.414200,1
414,1200.575840,3
415,1200.934090,4
416,1201.337800,3
417,1201.787730,6
418,1202.021030,11
419,1202.915290,1
420,1203.108410,5
421,1203.638550,2
422,1204.618780,6
423,1205.581730,5
424,1207.156390,1
425,1208.339420,1
426,1208.468160,2
427,1212.266550,5
428,1212.577750,2
429,1213.671560,1
430,1213.995800,1
431,1215.277960,4
432,1216.341430,4
433,1216.451690,11
434,1217.751540,1
435,1218.085580,2
436,1218.611640,2
437,1219.741580,1
438,1219.741580,1
439,1219.741580,1
440,1220.368930,9
441,1220.484250,7
442,1220.605330,3
443,1221.168410,8
444,1221.443670,3
445,1221.450240,1
446,1222.175870,5
447,1225.080660,2
448,1226.075580,6
449,1229.789260,9
450,1230.880460,2
451,1231.700470,4
452,1232.503620,2
453,1232.737110,2
454,1233.551000,5
455,1235.066240,4
456,1236.906180,1
457,1237.552750,2
458,1237.787810,3
459,1238.997460,2
460,1239.577160,1
461,1241.330140,2
462,1241.774130,4
